Symbol,Price,Date,Time,Volume,Sub Total
btc,14036.76,2017-12-28,16:07:57,2.34641,32935.9940316
eth,697,2017-12-28,16:08:01,24.2696,16915.9112
eos,8.0105,2017-12-28,16:08:01,2635.9394,21115.192563700002
qtum,42.78,2017-12-28,16:08:02,400.9,17150.502
bch,2459.99,2017-12-28,16:08:02,0.724,1781.0327599999998
btc,14581.64,2017-12-29,15:14:55,2.34641,34214.5059124
eth,738.01,2017-12-29,15:14:55,24.2696,17911.207496
eos,8.4128,2017-12-29,15:14:55,2635.9394,22175.630984320003
qtum,49.46,2017-12-29,15:14:56,400.9,19828.514
bch,2508.76,2017-12-29,15:14:56,0.724,1816.3422400000002
btc,13460,2017-12-30,15:14:59,2.34641,31582.678600000003
eth,709,2017-12-30,15:14:59,24.2696,17207.1464
eos,7.738,2017-12-30,15:14:59,2635.9394,20396.899077200003
qtum,46.07,2017-12-30,15:15:00,400.9,18469.463
bch,2355.13,2017-12-30,15:15:00,0.724,1705.11412
btc,12739.01,2017-12-31,15:15:05,2.34641,29890.9404541
eth,696.96,2017-12-31,15:15:05,24.2696,16914.940416
eos,7.1354,2017-12-31,15:15:05,2635.9394,18808.48199476
qtum,47.74,2017-12-31,15:15:06,400.9,19138.966
bch,2231.99,2017-12-31,15:15:06,0.724,1615.9607599999997
btc,13650.6,2018-01-01,15:15:08,2.34641,32029.904346000003
eth,754.49,2018-01-01,15:15:08,24.2696,18311.170504
eos,7.9569,2018-01-01,15:15:09,2635.9394,20973.90621186
qtum,52.86,2018-01-01,15:15:09,400.9,21191.573999999997
bch,2382.87,2018-01-01,15:15:09,0.724,1725.19788
btc,13146.41,2018-01-02,15:15:12,2.34641,30846.8678881
eth,842.41,2018-01-02,15:15:13,24.2696,20444.953736
eos,8.15,2018-01-02,15:15:16,2635.9394,21482.906110000004
qtum,51.17,2018-01-02,15:15:16,400.9,20514.053
bch,2322.3,2018-01-02,15:15:16,0.724,1681.3452
btc,15144.83,2018-01-03,15:15:27,2.34641,35535.9805603
eth,869.89,2018-01-03,15:15:40,24.2696,21111.882344
eos,8.3898,2018-01-03,15:15:40,2635.9394,22115.00437812
qtum,53.01,2018-01-03,15:15:40,400.9,21251.709
bch,2697.56,2018-01-03,15:15:44,0.724,1953.03344
btc,14790,2018-01-04,15:15:46,2.34641,34703.403900000005
eth,936,2018-01-04,15:15:50,24.2696,22716.3456
eos,10.18,2018-01-04,15:15:53,2635.9394,26833.863092
qtum,50.06,2018-01-04,15:16:02,400.9,20069.054
bch,2399.04,2018-01-04,15:16:06,0.724,1736.9049599999998
btc,15036,2018-01-05,15:17:48,2.34641,35280.62076
eth,1035,2018-01-05,15:17:48,24.2696,25119.036
eos,9.31,2018-01-05,15:17:49,2635.9394,24540.595814000004
qtum,46.73,2018-01-05,15:17:49,400.9,18734.056999999997
bch,2335.77,2018-01-05,15:17:49,0.724,1691.09748
btc,16218.92,2018-01-06,17:29:13,2.34641,38056.2360772
eth,1006.9,2018-01-06,17:29:13,24.2696,24437.06024
eos,9.4994,2018-01-06,17:29:13,2635.9394,25039.842736360002
qtum,48.99,2018-01-06,17:29:14,400.9,19640.091
bch,2370.04,2018-01-06,17:29:14,0.724,1715.90896
